model,mae,rmse,r2
Random Forest,0.4296312973484849,0.5730188265067068,0.4911450612266629
Gradient Boosting,0.47013416247286416,0.6074145751082126,0.4282230685283859
Linear Regression,0.495119032170256,0.6374642372130717,0.370250454907896
